id,name,canonical_description,property_group
274,FalseHoverFill,"The toggle hover fill color when toggle is off.",
275,FalseText,"The text shown when the toggle is off.",
276,ShowLabel,"Whether a text label is shown beside the toggle control.",
277,TextPosition,"Whether the label is to the left or the right of the toggle control.",
278,TrueFill,"Toggle fill color when the toggle is on.",
279,TrueHoverFill,"Toggle hover fill color when the toggle is on.",
280,TrueText,"Text shown when the toggle is on.",
281,Badge,"A small visual decoration added to convey status of the person or entity.",
282,Shape,"Whether the avatar appears with a circular or square shape.",
283,Appearance,"An avatar can have portions of itself styled for greater emphasis or to be subtle.",
284,BasePaletteColor,"The color palette applied to a control. This impacts all surfaces of the control that render a theme color. If the value is null or zero, then the color is driven by the selected Fluent theme.",
285,FontSize,"The font size of the text that appears on a control. If the value is null or zero, then the font size is driven by selected Fluent theme.",
286,FontColor,"The color of text in a control.",
287,FontItalic,"Whether the text in a control is italic.",
288,FontUnderline,"Whether a line appears under the text that appears on a control.",
289,FontStrikethrough,"Whether a line appears through the text that appears on a control.",
290,"Out of office","Adjusts the Badge icon to show its corresponding ""out of office"" variant.",
291,AcceptsFocus,"Determines whether the control can receive focus when the user navigates through the app by using the keyboard.",
292,Direction,"Determines whether the card layout is vertical or horizontal",
293,Title,"Header title text displayed on the card",
294,Subtitle,"Supplemental text displayed under or beside the title in the header",
295,Description,"Description text displayed below the header of the card",
296,ImageAltText,"Alt text for the preview image for accessibility",
297,HeaderImage,"Small avatar or icon displayed in the header with the title and subtitle",
298,HeaderImageAltText,"Alt text for the header image",
299,Radius,"Controls corner roundness of the card container",
300,DropShadow,"Defines the shadow style applied to the card",
301,"X, Y","Position of the control on the canvas",
302,"Width, Height","Dimensions of the control",
303,Label,"The Checkbox's label.",
304,Checked,"The controlled value for the checkbox.",
305,ItemDisplayText,"A formula that determines what text to display for each item in the dropdown list. Use `ThisItem` to reference the current item. Example: `ThisItem.DisplayName` or `ThisItem.Value1`.",
306,AllowMultipleSelection,"(Display property) A toggle that controls whether users can select multiple items. Maps to the SelectMultiple property.",
307,AllowSearching,"(Display property) A toggle that controls whether search is enabled. Maps to the IsSearchable property.",
308,"Data source (Items)","The Copilot answer control only supports Dataverse as the data source. The answer to the question comes from the Dataverse table that you select.",
309,Views,"A user can select any of the views that are available in the data source.",
310,Fields,"Default list of fields available for the table. Users can select Edit to see the list of fields. They can also add or modify the fields based on their requirements.",
311,"Question for Copilot","This is the question a maker asks the Copilot answer control. The question is used as the prompt to generate a response that is displayed by the answer control that's based on the selected Data source property.",
312,"Show answer","Should the Copilot answer control answer a question when the user clicks on the ‘Arrow’ icon (After sending) or as soon as the control loads when the question is defined in the properties window (Immediate).",
313,Position,"Whether a control appears or is hidden.",
314,Placeholder,"Hint text that appears when no date is selected. Default is ""Select a date"".",
315,ValidationState,"The control has two states: Error and None. When the error state is selected, the control’s border is highlighted in red.",
316,Content,"The information text displayed in the flyout when the user clicks or hovers over the info button icon. Supports plain text and formatted content.",
317,IconColor,"The color of the information icon button itself. Use this value to match your app's theme or draw attention to important information.",
